"Place","Athlete Name","Division","Affiliate","Total Points","Bundesland","MIXED MODAL (#27908) Rank","STRENGTH (#27909) Rank","BODYWEIGHT (#27910) Rank","ENDURANCE (#27911) Rank","SKILL (#27912) Rank","POWER (#27913) Rank","Team Members","MIXED MODAL (#27908) Result","MIXED MODAL (#27908) Points","STRENGTH (#27909) Result","STRENGTH (#27909) Points","BODYWEIGHT (#27910) Result","BODYWEIGHT (#27910) Points","ENDURANCE (#27911) Result","ENDURANCE (#27911) Points","SKILL (#27912) Result","SKILL (#27912) Points","POWER (#27913) Result","POWER (#27913) Points"
"1","Felix Rehder","Männer","CROSSFIT SCHMELZTIEGEL","560","Baden-Württemberg (Süd)","1","6","1","2","1","3",,"459","100","150","75","CAP +147  (02:40)","100","163","95","43","100","02:30","90"
"2","Jonas Zistler","Männer","CROSSFIT BAYREUTH","520","Bayern (Süd)","2","3","3","5","8","1",,"437","95","155","90","CAP +134  (02:39)","90","141","80","25","65","02:27","100"
"3","Matthias Kurpjuweit","Männer","HELDENSCHMIEDE WALDSHUT-TIENGEN","480","Baden-Württemberg (Süd)","3","11","6","4","3","3",,"434","90","135","50","CAP +127  (02:40)","75","148","85","29","90","02:30","90"
"4","SEDRIK LADNER","Männer","BOX9 ESCHWEGE","416","Hessen (West)","4","19","4","1","15","2",,"428","85","125","18","CAP +133  (02:49)","85","168","100","20","33","02:28","95"
"5","MAX HINKOFER","Männer","CROSSFIT BLACK RAIN","390","Bayern (Süd)","7","3","17","11","4","7",,"389","70","155","90","CAP +101  (03:19)","25","129","50","28","85","02:34","70"
"6","Pit Ressler","Männer","FOERDE CROSSFIT","386","Schleswig-Holstein (Nord)","5","11","9","5","6","13",,"422","80","135","50","CAP +123  (02:37)","60","141","80","26","75","02:44","41"
"7","Benjamin Huxol","Männer","CROSSFIT POTSDAM","376","Brandenburg (Ost)","8","19","2","7","2","15",,"384","65","125","18","CAP +135  (02:34)","95","138","70","34","95","02:51","33"
"8","Johannes Horwedel","Männer","KÖRPERSCHMIEDE SCHWEINFURT","355","Bayern (Süd)","10","8","8","9","9","11",,"361","55","145","65","CAP +124  (02:54)","65","135","60","24","60","02:41","50"
"9","Lenn Postel","Männer","NORTH GYM","331","Schleswig-Holstein (Nord)","15","3","7","19","9","9",,"339","33","155","90","CAP +125  (02:39)","70","84","18","24","60","02:40","60"
"10","Christian Weber","Männer","CROSSFIT BASALTKRAFT","312","Rheinland-Pfalz (West)","16","11","5","13","6","14",,"327","29","135","50","CAP +133  (02:50)","80","121","41","26","75","02:45","37"
"11","Eric Zuchold","Männer",,"304","Sachsen (Ost)","17","1","13","15","17","5",,"326","25","160","100","CAP +113  (03:18)","41","114","33","19","25","02:31","80"
"12","Rick Wagner","Männer","SNP SPORTS","296","Brandenburg (Ost)","12","10","18","3","9","17",,"358","45","140","55","CAP +96  (03:08)","21","151","90","24","60","02:53","25"
"13","Finn Sperling","Männer","CROSSFIT CELLE","294","Niedersachsen (Nord)","10","14","12","12","14","6",,"361","55","130","37","CAP +114  (02:50)","45","128","45","21","37","02:33","75"
"14","Philipp Steiner","Männer","LUPARO FITNESS","294","Baden-Württemberg (Süd)","9","14","14","10","12","9",,"382","60","130","37","CAP +109  (03:02)","37","130","55","23","45","02:40","60"
"15","Simon Wagner","Männer","CROSSFIT STRAUBING","270","Bayern (Süd)","13","14","11","14","5","17",,"352","41","130","37","CAP +118  (03:05)","50","119","37","27","80","02:53","25"
"16","Johannes Kasperl","Männer","CROSSFIT LEIPZIG","253","Sachsen (Ost)","6","1","15","20","19","21",,"403","75","160","100","CAP +107  (02:49)","33","49","15","17","18","CAP +1","12"
"17","Pierre Rehfeld","Männer","CROSSFIT SCHNEVERDINGEN","230","Niedersachsen (Nord)","18","6","20","8","17","16",,"319","21","150","75","CAP +88  (03:31)","15","136","65","19","25","02:52","29"
"18","David Hensel","Männer","CROSSFIT BLUE PIT","197","Nordrhein-Westfalen (West)","20","14","16","17","13","11",,"306","15","130","37","CAP +105  (02:46)","29","100","25","22","41","02:41","50"
"19","ROMAN BERGMÜLLER","Männer","CROSSFIT PADERBORN","195","Nordrhein-Westfalen (West)","21","8","21","16","21","8",,"252","12","145","65","CAP +79  (03:39)","12","108","29","13","12","02:38","65"
"20","MAX BUTHMANN","Männer","FOERDE CROSSFIT","152","Schleswig-Holstein (Nord)","14","14","19","21","15","20",,"344","37","130","37","CAP +90  (03:49)","18","39","12","20","33","04:02","15"
"21","Frank Cremer","Männer","MUSKELWERKSTATT TRIER","145","Rheinland-Pfalz (West)","19","19","10","18","20","19",,"313","18","125","18","CAP +123  (03:20)","55","95","21","16","15","02:58","18"
,"Christopher Ott","Männer",,"-","Bayern (Süd)","24","24","24","24","24","24",,"WD",,"WD",,"WD",,"WD",,"WD",,"WD",
,"Marcel Lamée","Männer","CROSSFIT BLUE PIT","-","Nordrhein-Westfalen (West)","24","24","24","24","24","24",,"WD",,"WD",,"WD",,"WD",,"WD",,"WD",
,"Boris Benke","Männer","THE BARN ATHLETICS","-","Niedersachsen (Nord)","24","24","24","24","24","24",,"WD",,"WD",,"WD",,"WD",,"WD",,"WD",
